title,title_Link,answer,time,回答者,f_light,ml_10
爬山虎的好处和坏处,http://zhidao.baidu.com/question/159374494.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：我家窗外，长满了爬山虎，不知道有没有好处和坏处，是好呢，还是坏,2018-07-22,闵的追随者,8个回答,87
爬山虎脚的资料,http://zhidao.baidu.com/question/117641002.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：huyjhyugtyftyrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr...,2017-11-22,晨昏风雨,32个回答,495
爬山虎是什么,http://zhidao.baidu.com/question/12858237.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：爬山虎,2017-10-06,land愿聆其殇e,5个回答,92
爬山虎为什么能紧紧地抓在墙上呢？,http://zhidao.baidu.com/question/873513432566362132.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：我家门前的矮墙，被爬山虎的藤条爬得严严实实。每当我看到茂密的爬山虎...,2017-10-10,nlancyi,5个回答,168
爬山虎的生活环境,http://zhidao.baidu.com/question/1048458220137768899.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎喜阴湿环境，但不怕强光，耐寒，耐旱，耐贫瘠，耐修剪，怕积水，对土壤要求不严，但在阴湿、肥沃的土壤中生长最佳。爬山虎生性随和，适应性强，在一般土壤中都能生长。爬山虎占地少、生长快，绿化覆盖面积大。一根茎粗2厘米的藤条，种植两...,2017-11-21,abc035678,2个回答,71
爬山虎的资料 少点，20个字,http://zhidao.baidu.com/question/184063968.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎（Parthenocissus tricuspidata）又称捆石龙、枫藤、小虫儿卧草、红丝草、红葛、趴山虎、红葡萄藤、巴山虎，葡萄科植物。 植物形态： 1、大型落叶木质藤本植物，其形态与野葡萄藤相似。藤茎可长达18公尺(约60尺)。夏季开花，花小，成簇不...,2018-04-11,moon河漾琴心,10个回答,66
关于爬山虎的资料,http://zhidao.baidu.com/question/189522363.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎的叶多年生大型落叶木质藤本植物，其形态与野葡萄相似。藤茎可长达18公尺(约60呎)。夏季开花，花小，成簇不显，黄绿色或浆果紫黑色，与叶对生。花多为两性，雌雄同株，聚伞花序常着生于两叶间的短枝上，长4～8cm，较叶柄短；花5数；萼全缘...,2017-11-23,帅少将,6个回答,392
爬山虎的介绍,http://zhidao.baidu.com/question/6968921.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎种类介绍东南爬山虎是葡萄科地锦属多年生大型落叶木质藤本植物，叶小，5枚，聚伞花序与叶对生，产福建、广东等地。 花叶爬山虎 花叶爬山虎是葡萄科地锦属多年生大型落叶木质藤本植物，幼枝四棱，幼叶绿色，背面有白斑或带紫色，花序圆锥状...,2018-08-21,CNN353562,19个回答,394
爬山虎的生长过程,http://zhidao.baidu.com/question/37832346.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎占地少、生长快，绿化覆盖面积大。一根茎粗2厘米的藤条，种植两年，墙面绿化覆盖面便可达30至50平方米。由于爬山虎的茎叶密集，覆盖在房屋墙面上，不仅可以遮挡强烈的阳光，而且由于叶片与墙面之间的空气流动，还可以降低室内温度。它作为...,2017-11-24,yxlzjun72,5个回答,471
爬山虎为什么会爬墙？,http://zhidao.baidu.com/question/1753605669225545388.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：有吸盘。 因为爬山虎是一种茎干细长、攀附生长的藤本植物。在爬山虎的叶腋中能伸出五根枝状的细丝，每根细丝都像蜗牛的触角。当这些细丝触附着墙的时候，每根细丝的项端变成了一个个小圆片，能牢牢地粘附在墙上。它的茎干就有近25个吸附在墙上的...,2018-04-18,西西哩的小马甲,11个回答,113
写一 篇作文(观察爬山虎),http://zhidao.baidu.com/question/360629071673843252.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎 我们学校的走廊长着一大片爬山虎，一年四季展示给我们不同的面貌。 春天，草绿花开，爬山虎的嫩芽从绿色的茎杆里长出来。浅浅的绿中透着嫩，嫩中透着润，让人联想起婴儿的皮肤，卷卷的又像一个个小画轴，慢慢地舒展开，摸上去光光的、滑...,2017-11-26,作业帮,4个回答,143
爬山虎是一种什么样的植物,http://zhidao.baidu.com/question/133722215.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎 别名：地锦。葡萄科爬山虎属落叶大藤本。爬山虎根茎发达，根深可达1.5至2米，茎长可达20至50米，它的生长对土壤要求不高。爬山虎角质层厚，含腊质，蒸发量小，能在摄氏零下23度至零上50度的环境中生长，具有较强的耐旱、耐热、耐寒性能，...,2017-10-12,yanghao0301,5个回答,72
种植爬山虎有什么害处？,http://zhidao.baidu.com/question/290106513.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：1.它会招来蚊虫。因为攀援植物可以为蛇类提供理想的隐蔽和攀爬的环境条件，所以一些壁虎和无毒的游蛇喜欢栖身在爬山虎枝叶中。 2.爬山虎见缝就钻，且在生长时会分泌一种酸性物质，同时会吸收墙壁的营养，会破坏墙壁，一旦墙体被破坏，那些蛇虫，...,2018-07-08,刘梦真唯一,6个回答,1
描写爬山虎的一段话,http://zhidao.baidu.com/question/122857191.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：快啊！！ 着急用！！！！,2017-11-22,「樱雨冰凌」,4个回答,163
爬山虎的特征,http://zhidao.baidu.com/question/38499853.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：形态特征：多年生大型落叶木质藤本植物。在暖温带以南冬季也可以保持半常绿或常绿状态。老枝灰褐色，幼枝紫红色，髓白色，茎蔓粗壮，其上具有皮孔，分枝力强。卷须与叶对生，顶端有吸盘。掌状复叶，有长柄，上有三浅裂，裂片先端尖，基部楔形，...,2017-09-02,青春呓语,3个回答,144
爬山虎为什么会趴在墙上,http://zhidao.baidu.com/question/418489135.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：原因分析如下： 爬山虎的脚长在茎上。 茎上长叶柄地方，伸出枝状的六七根细丝，每根细丝像蜗牛的触角。 爬山虎的这些脚触着墙的时候，就趴住墙。细丝原先是直的，现在弯曲了，把爬山虎的嫩茎拉一把，使它紧贴在墙上。爬山虎就是这样一步一步地往...,2017-09-05,翻滚吧云盘,7个回答,189
描写爬山虎春夏秋冬的作文有哪些,http://zhidao.baidu.com/question/1991430804018310907.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：四季的爬山虎 步行街，一条美丽的小街．这里有茂密的小草，娇嫩的小花，葱郁的树木，啼啭的鸟雀，飞舞的彩蝶，形态各异的铜像，清澈见底的溪水哗哗流淌……步行街的四季风景如画，但最美丽、最吸引人们眼球的，还是那随风摇曳，四季都独特美丽的爬...,2017-11-22,百度知道客户端,2个回答,222
爬山虎怎样往上爬的,http://zhidao.baidu.com/question/186697823.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：爬山虎怎样往上爬的,2018-04-25,shao1017472001,5个回答,12
求叶圣陶老先生的《爬山虎的脚》全文,http://zhidao.baidu.com/question/5618167.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：学校操场北边墙上满是爬山虎。我家也有爬山虎，从小院的西墙爬上去，在房顶上占了一大片地方。 爬山虎刚长出来的叶子是嫩红的，不几天叶子长大，就变成嫩绿的。爬山虎的嫩叶不大引人注意，引人注意的是长大了的叶子。那些叶子绿得那么新鲜，...,2017-11-25,哈哈和贝贝,3个回答,1554
爬山虎属于什么类的植物,http://zhidao.baidu.com/question/115839510.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,问：爬山虎属于什么类的植物,2017-09-08,炫酷小画家,8个回答,92
爬山虎的介绍,http://zhidao.baidu.com/question/7175950.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：爬山虎 又叫“常春藤”、“地锦”、“巴山虎”。多年生落叶藤本。它的茎如不攀援在别的物体上就无法向上生长。爬山虎的茎上有卷须，卷须生有许多分枝，每根分枝上的末端都有吸盘，能够附着在墙壁上、大树上或岩石上。爬山虎附着在墙壁上非常牢固，不用...,2016-08-30,百度知道,2个回答,78
求描述爬山虎样子的句子,http://zhidao.baidu.com/question/554444990081565212.html?fr=iks&word=%C5%C0%C9%BD%BB%A2&ie=gbk,答：1、暮秋降临，窗外的爬山虎已经褪去一身红绿相间的衣裳，只剩下多少片枯黄中泛红的枝叶与密密麻麻抓在墙上的茎干。茎干不叶子的俏丽，像一些缠在一起的老树根。但叶子的终生还是要靠茎干，并且茎干始终都存在，即便在冬天，它也在努力的积蓄营养...,2017-11-21,百度知道客户端,1个回答,11
